                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2546,                0.82834,                0.98148,                 2.4582,                0.00332,                0.00332,                0.00332
                      2,                0.70485,                0.95837,                0.99453,                 2.2035,              0.0065216,              0.0065216,              0.0065216
                      3,                0.31016,                0.97626,                0.99882,                 2.1627,              0.0095912,              0.0095912,              0.0095912
                      4,                0.23073,                0.97456,                0.99597,                 2.1556,               0.009406,               0.009406,               0.009406
                      5,                0.17085,                 0.9822,                0.99784,                 2.1449,               0.009406,               0.009406,               0.009406
                      6,                0.14036,                0.98433,                0.99916,                 2.1433,               0.009208,               0.009208,               0.009208
                      7,                0.12329,                0.98401,                0.99867,                 2.1416,                0.00901,                0.00901,                0.00901
                      8,                 0.1064,                0.98387,                 0.9977,                 2.1421,               0.008812,               0.008812,               0.008812
                      9,                0.09781,                0.98079,                0.99844,                 2.1464,               0.008614,               0.008614,               0.008614
                     10,                0.09187,                0.98442,                0.99582,                 2.1408,               0.008416,               0.008416,               0.008416
                     11,                0.08164,                0.98563,                 0.9953,                 2.1399,               0.008218,               0.008218,               0.008218
                     12,                0.06907,                0.98148,                0.99663,                 2.1429,                0.00802,                0.00802,                0.00802
                     13,                 0.0765,                0.98274,                0.99686,                 2.1421,               0.007822,               0.007822,               0.007822
                     14,                0.07102,                0.98439,                0.99865,                 2.1406,               0.007624,               0.007624,               0.007624
                     15,                0.06554,                0.98701,                0.99893,                 2.1383,               0.007426,               0.007426,               0.007426
                     16,                 0.0562,                0.98367,                0.99968,                 2.1408,               0.007228,               0.007228,               0.007228
                     17,                0.06254,                 0.9856,                0.99931,                 2.1391,                0.00703,                0.00703,                0.00703
                     18,                0.05925,                0.98519,                0.99968,                 2.1387,               0.006832,               0.006832,               0.006832
                     19,                0.05658,                0.98442,                0.99945,                 2.1399,               0.006634,               0.006634,               0.006634
                     20,                0.05509,                0.98721,                0.99951,                  2.137,               0.006436,               0.006436,               0.006436
                     21,                0.04901,                 0.9875,                0.99891,                 2.1369,               0.006238,               0.006238,               0.006238
                     22,                0.05186,                0.98905,                0.99928,                 2.1351,                0.00604,                0.00604,                0.00604
                     23,                0.04604,                0.98796,                0.99893,                 2.1359,               0.005842,               0.005842,               0.005842
                     24,                 0.0473,                0.98537,                0.99963,                 2.1385,               0.005644,               0.005644,               0.005644
                     25,                0.04301,                0.98828,                0.99801,                 2.1358,               0.005446,               0.005446,               0.005446
                     26,                0.04225,                0.98756,                0.99908,                  2.137,               0.005248,               0.005248,               0.005248
                     27,                0.04067,                0.98712,                0.99862,                 2.1371,                0.00505,                0.00505,                0.00505
                     28,                0.03746,                0.98709,                0.99844,                 2.1372,               0.004852,               0.004852,               0.004852
                     29,                0.03848,                0.98908,                0.99951,                 2.1354,               0.004654,               0.004654,               0.004654
                     30,                0.03726,                0.98842,                0.99916,                 2.1355,               0.004456,               0.004456,               0.004456
                     31,                0.03219,                0.98733,                0.99914,                 2.1368,               0.004258,               0.004258,               0.004258
                     32,                0.03361,                0.98822,                0.99902,                 2.1361,                0.00406,                0.00406,                0.00406
                     33,                0.03256,                0.98822,                0.99873,                 2.1359,               0.003862,               0.003862,               0.003862
                     34,                0.03329,                0.98957,                0.99948,                 2.1347,               0.003664,               0.003664,               0.003664
                     35,                0.03179,                0.98787,                 0.9987,                 2.1363,               0.003466,               0.003466,               0.003466
                     36,                0.02692,                 0.9873,                0.99862,                 2.1369,               0.003268,               0.003268,               0.003268
                     37,                0.03111,                0.98666,                0.99888,                 2.1377,                0.00307,                0.00307,                0.00307
                     38,                0.02799,                0.98747,                 0.9994,                 2.1366,               0.002872,               0.002872,               0.002872
                     39,                0.02751,                0.98718,                0.99905,                 2.1368,               0.002674,               0.002674,               0.002674
                     40,                0.02749,                0.98712,                0.99893,                 2.1368,               0.002476,               0.002476,               0.002476
                     41,                0.02876,                0.98686,                0.99885,                  2.137,               0.002278,               0.002278,               0.002278
                     42,                0.02932,                0.98704,                0.99867,                 2.1371,                0.00208,                0.00208,                0.00208
                     43,                0.02441,                0.98721,                0.99844,                 2.1368,               0.001882,               0.001882,               0.001882
                     44,                0.02583,                0.98724,                0.99827,                 2.1369,               0.001684,               0.001684,               0.001684
                     45,                0.02498,                0.98724,                0.99821,                 2.1367,               0.001486,               0.001486,               0.001486
                     46,                0.02243,                0.98718,                0.99819,                 2.1369,               0.001288,               0.001288,               0.001288
                     47,                0.02057,                0.98733,                0.99813,                 2.1367,                0.00109,                0.00109,                0.00109
                     48,                0.02396,                0.98747,                0.99816,                 2.1366,               0.000892,               0.000892,               0.000892
                     49,                0.02079,                 0.9875,                0.99807,                 2.1365,               0.000694,               0.000694,               0.000694
                     50,                0.02165,                0.98758,                0.99824,                 2.1364,               0.000496,               0.000496,               0.000496
