                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2904,                0.83785,                0.98205,                  2.412,              0.0033233,              0.0033233,              0.0033233
                      2,                0.77577,                0.96889,                0.99862,                 2.1856,              0.0066127,              0.0066127,              0.0066127
                      3,                0.34249,                0.95636,                0.99473,                 2.1805,              0.0098581,              0.0098581,              0.0098581
                      4,                0.26123,                0.98508,                0.99816,                 2.1437,               0.009802,               0.009802,               0.009802
                      5,                0.19153,                 0.9811,                0.99686,                  2.147,               0.009802,               0.009802,               0.009802
                      6,                0.14718,                0.97935,                0.99986,                 2.1486,               0.009736,               0.009736,               0.009736
                      7,                0.14075,                0.98715,                0.99752,                 2.1396,                0.00967,                0.00967,                0.00967
                      8,                0.13682,                0.98856,                  0.997,                 2.1369,               0.009604,               0.009604,               0.009604
                      9,                0.10679,                0.98753,                0.99801,                 2.1379,               0.009538,               0.009538,               0.009538
                     10,                0.10351,                0.98145,                0.99934,                 2.1441,               0.009472,               0.009472,               0.009472
                     11,                0.10365,                0.98447,                0.99865,                 2.1404,               0.009406,               0.009406,               0.009406
                     12,                0.09813,                0.98312,                0.99735,                 2.1424,                0.00934,                0.00934,                0.00934
                     13,                0.08468,                0.98254,                0.99963,                 2.1424,               0.009274,               0.009274,               0.009274
                     14,                0.08629,                0.98707,                0.99983,                 2.1387,               0.009208,               0.009208,               0.009208
                     15,                0.08324,                0.98698,                0.99888,                  2.138,               0.009142,               0.009142,               0.009142
                     16,                0.08361,                0.98836,                      1,                 2.1377,               0.009076,               0.009076,               0.009076
                     17,                0.08028,                0.98805,                0.99712,                 2.1372,                0.00901,                0.00901,                0.00901
                     18,                0.08327,                0.98502,                      1,                 2.1405,               0.008944,               0.008944,               0.008944
                     19,                0.08147,                0.98606,                      1,                 2.1407,               0.008878,               0.008878,               0.008878
                     20,                0.07967,                0.98787,                0.99991,                 2.1372,               0.008812,               0.008812,               0.008812
                     21,                0.07292,                0.98367,                      1,                 2.1405,               0.008746,               0.008746,               0.008746
                     22,                0.07277,                0.98707,                0.99997,                 2.1372,                0.00868,                0.00868,                0.00868
                     23,                0.07694,                0.98813,                      1,                 2.1367,               0.008614,               0.008614,               0.008614
