                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.06579,                 0.9914,                      1,                 2.4975,                0.00571,                0.00571,                0.00571
                     68,                0.07362,                 0.9914,                      1,                 2.4976,               0.005644,               0.005644,               0.005644
                     69,                 0.0742,                 0.9914,                      1,                 2.4976,               0.005578,               0.005578,               0.005578
                     70,                0.06974,                0.99137,                      1,                 2.4977,               0.005512,               0.005512,               0.005512
                     71,                0.07008,                 0.9913,                      1,                 2.4977,               0.005446,               0.005446,               0.005446
                     72,                0.07132,                 0.9913,                      1,                 2.4977,                0.00538,                0.00538,                0.00538
                     73,                0.07355,                0.99127,                      1,                 2.4977,               0.005314,               0.005314,               0.005314
                     74,                0.06878,                0.99117,                      1,                 2.4977,               0.005248,               0.005248,               0.005248
                     75,                0.06846,                0.99112,                      1,                 2.4977,               0.005182,               0.005182,               0.005182
                     76,                0.06826,                0.99112,                      1,                 2.4979,               0.005116,               0.005116,               0.005116
                     77,                0.06452,                0.99107,                      1,                 2.4979,                0.00505,                0.00505,                0.00505
                     78,                0.06462,                0.99112,                      1,                 2.4978,               0.004984,               0.004984,               0.004984
                     79,                0.06505,                0.99115,                      1,                 2.4979,               0.004918,               0.004918,               0.004918
                     80,                0.06758,                0.99112,                      1,                 2.4978,               0.004852,               0.004852,               0.004852
                     81,                0.06217,                 0.9912,                      1,                 2.4977,               0.004786,               0.004786,               0.004786
                     82,                0.06243,                0.99122,                      1,                 2.4979,                0.00472,                0.00472,                0.00472
                     83,                0.06266,                0.99122,                      1,                 2.4978,               0.004654,               0.004654,               0.004654
                     84,                0.05752,                0.99125,                0.99995,                 2.4978,               0.004588,               0.004588,               0.004588
                     85,                0.05721,                0.99127,                0.99995,                 2.4979,               0.004522,               0.004522,               0.004522
                     86,                0.06089,                0.99125,                0.99995,                 2.4979,               0.004456,               0.004456,               0.004456
                     87,                0.05814,                0.99117,                0.99995,                 2.4977,                0.00439,                0.00439,                0.00439
                     88,                0.05705,                 0.9912,                0.99995,                 2.4978,               0.004324,               0.004324,               0.004324
                     89,                0.05736,                 0.9912,                0.99995,                 2.4977,               0.004258,               0.004258,               0.004258
                     90,                0.05502,                0.99117,                0.99995,                 2.4977,               0.004192,               0.004192,               0.004192
                     91,                0.05411,                0.99117,                0.99995,                 2.4977,               0.004126,               0.004126,               0.004126
                     92,                0.05159,                 0.9912,                0.99995,                 2.4977,                0.00406,                0.00406,                0.00406
                     93,                0.05068,                0.99125,                0.99995,                 2.4976,               0.003994,               0.003994,               0.003994
